Dates,AAPL,AMZN
1998-03-19,0.239,0.35
1998-03-20,0.235,0.35
1998-03-23,0.233,0.349
1998-03-24,0.25,0.351
1998-03-25,0.242,0.34
1998-03-26,0.237,0.345
1998-03-27,0.241,0.354
1998-03-30,0.245,0.358
1998-03-31,0.246,0.356
1998-04-01,0.246,0.376
1998-04-02,0.244,0.396
1998-04-03,0.242,0.388
1998-04-06,0.234,0.369
1998-04-07,0.228,0.355
1998-04-08,0.223,0.369
1998-04-09,0.229,0.397
1998-04-13,0.236,0.393
1998-04-14,0.241,0.405
1998-04-15,0.245,0.401
1998-04-16,0.256,0.41
1998-04-17,0.249,0.395
1998-04-20,0.259,0.393
1998-04-21,0.259,0.388
1998-04-22,0.246,0.364
1998-04-23,0.247,0.338
1998-04-24,0.249,0.354
1998-04-27,0.248,0.345
1998-04-28,0.241,0.398
1998-04-29,0.241,0.398
1998-04-30,0.244,0.382
1998-05-01,0.25,0.394
1998-05-04,0.259,0.397
1998-05-05,0.265,0.39
1998-05-06,0.271,0.377
1998-05-07,0.27,0.379
1998-05-08,0.272,0.385
1998-05-11,0.276,0.362
1998-05-12,0.269,0.381
1998-05-13,0.272,0.387
1998-05-14,0.268,0.382
1998-05-15,0.264,0.373
1998-05-18,0.254,0.367
1998-05-19,0.262,0.377
1998-05-20,0.264,0.369
1998-05-21,0.258,0.37
1998-05-22,0.249,0.358
1998-05-26,0.238,0.341
1998-05-27,0.239,0.361
1998-05-28,0.245,0.358
1998-05-29,0.238,0.367
1998-06-01,0.234,0.357
1998-06-02,0.24,0.364
1998-06-03,0.235,0.352
1998-06-04,0.239,0.366
1998-06-05,0.24,0.369
1998-06-08,0.243,0.385
1998-06-09,0.252,0.427
1998-06-10,0.251,0.451
1998-06-11,0.248,0.521
1998-06-12,0.251,0.508
1998-06-15,0.246,0.548
1998-06-16,0.25,0.614
1998-06-17,0.251,0.658
1998-06-18,0.244,0.599
1998-06-19,0.242,0.632
1998-06-22,0.244,0.678
1998-06-23,0.248,0.772
1998-06-24,0.252,0.832
1998-06-25,0.255,0.826
1998-06-26,0.252,0.785
1998-06-29,0.256,0.823
1998-06-30,0.256,0.831
1998-07-01,0.267,0.951
1998-07-02,0.259,1.033
1998-07-06,0.271,1.163
1998-07-07,0.272,1.018
1998-07-08,0.291,0.893
1998-07-09,0.283,0.879
1998-07-10,0.286,0.829
1998-07-13,0.303,0.897
1998-07-14,0.299,0.958
1998-07-15,0.307,0.938
1998-07-16,0.335,0.945
1998-07-17,0.329,0.998
1998-07-20,0.324,1.146
1998-07-21,0.318,1.101
1998-07-22,0.313,1.117
1998-07-23,0.312,1.064
1998-07-24,0.31,1.035
1998-07-27,0.307,1.046
1998-07-28,0.3,0.991
1998-07-29,0.314,0.898
1998-07-30,0.326,0.948
1998-07-31,0.309,0.924
1998-08-03,0.314,0.902
1998-08-04,0.305,0.916
1998-08-05,0.321,0.885
1998-08-06,0.329,0.913
1998-08-07,0.326,0.967
1998-08-10,0.339,1.014
1998-08-11,0.348,1.033
1998-08-12,0.358,1.086
1998-08-13,0.352,1.063
1998-08-14,0.362,1.023
1998-08-17,0.374,0.997
1998-08-18,0.38,1.072
1998-08-19,0.366,1.073
1998-08-20,0.363,1.076
1998-08-21,0.384,1.081
1998-08-24,0.368,1.123
1998-08-25,0.364,1.097
1998-08-26,0.36,1.06
1998-08-27,0.335,0.992
1998-08-28,0.305,0.882
