Dates,AAPL,AMZN
2001-01-18,0.334,0.975
2001-01-19,0.348,0.997
2001-01-22,0.344,0.925
2001-01-23,0.366,0.948
2001-01-24,0.366,1.094
2001-01-25,0.356,0.95
2001-01-26,0.349,0.975
2001-01-29,0.387,1.006
2001-01-30,0.388,0.947
2001-01-31,0.386,0.866
2001-02-01,0.377,0.813
2001-02-02,0.368,0.719
2001-02-05,0.36,0.722
2001-02-06,0.377,0.791
2001-02-07,0.371,0.75
2001-02-08,0.371,0.719
2001-02-09,0.342,0.669
2001-02-12,0.352,0.725
2001-02-13,0.342,0.688
2001-02-14,0.348,0.722
2001-02-15,0.358,0.725
2001-02-16,0.339,0.684
2001-02-20,0.327,0.625
2001-02-21,0.337,0.597
2001-02-22,0.336,0.597
2001-02-23,0.336,0.591
2001-02-26,0.348,0.597
2001-02-27,0.346,0.588
2001-02-28,0.326,0.509
2001-03-01,0.335,0.522
2001-03-02,0.344,0.5
2001-03-05,0.364,0.631
2001-03-06,0.384,0.594
2001-03-07,0.379,0.613
2001-03-08,0.372,0.584
2001-03-09,0.362,0.613
2001-03-12,0.333,0.531
2001-03-13,0.349,0.55
2001-03-14,0.365,0.531
2001-03-15,0.352,0.544
2001-03-16,0.35,0.55
2001-03-19,0.367,0.525
2001-03-20,0.352,0.513
2001-03-21,0.359,0.5
2001-03-22,0.386,0.509
2001-03-23,0.411,0.509
2001-03-26,0.389,0.547
2001-03-27,0.408,0.582
2001-03-28,0.396,0.54
2001-03-29,0.402,0.5
2001-03-30,0.394,0.512
2001-04-02,0.386,0.455
2001-04-03,0.361,0.432
2001-04-04,0.348,0.42
2001-04-05,0.373,0.456
2001-04-06,0.368,0.419
2001-04-09,0.367,0.559
2001-04-10,0.394,0.601
2001-04-11,0.389,0.666
2001-04-12,0.4,0.734
2001-04-16,0.383,0.702
2001-04-17,0.364,0.737
2001-04-18,0.407,0.827
2001-04-19,0.459,0.8
2001-04-20,0.447,0.789
2001-04-23,0.433,0.81
2001-04-24,0.429,0.784
2001-04-25,0.441,0.805
2001-04-26,0.441,0.772
2001-04-27,0.468,0.764
2001-04-30,0.455,0.789
2001-05-01,0.463,0.845
2001-05-02,0.475,0.855
2001-05-03,0.446,0.838
2001-05-04,0.46,0.878
2001-05-07,0.446,0.846
2001-05-08,0.439,0.809
2001-05-09,0.428,0.751
2001-05-10,0.411,0.731
2001-05-11,0.408,0.734
2001-05-14,0.416,0.667
2001-05-15,0.414,0.677
2001-05-16,0.43,0.707
2001-05-17,0.421,0.739
2001-05-18,0.42,0.736
2001-05-21,0.421,0.819
2001-05-22,0.42,0.813
2001-05-23,0.415,0.78
2001-05-24,0.414,0.838
2001-05-25,0.406,0.855
2001-05-29,0.383,0.861
2001-05-30,0.353,0.783
2001-05-31,0.356,0.835
2001-06-01,0.373,0.847
2001-06-04,0.369,0.846
2001-06-05,0.374,0.822
2001-06-06,0.37,0.8
2001-06-07,0.387,0.807
2001-06-08,0.381,0.785
2001-06-11,0.358,0.743
2001-06-12,0.363,0.732
2001-06-13,0.366,0.706
2001-06-14,0.355,0.665
2001-06-15,0.365,0.625
2001-06-18,0.363,0.592
2001-06-19,0.361,0.568
2001-06-20,0.387,0.627
2001-06-21,0.402,0.654
2001-06-22,0.398,0.62
2001-06-25,0.428,0.641
2001-06-26,0.424,0.663
2001-06-27,0.417,0.702
2001-06-28,0.42,0.718
2001-06-29,0.415,0.708
2001-07-02,0.427,0.726
2001-07-03,0.426,0.707
2001-07-05,0.414,0.764
2001-07-06,0.393,0.764
2001-07-09,0.405,0.791
2001-07-10,0.378,0.781
2001-07-11,0.402,0.767
2001-07-12,0.435,0.824
2001-07-13,0.444,0.849
2001-07-16,0.428,0.801
2001-07-17,0.448,0.818
2001-07-18,0.371,0.798
2001-07-19,0.356,0.824
2001-07-20,0.357,0.849
2001-07-23,0.349,0.802
2001-07-24,0.341,0.603
2001-07-25,0.33,0.576
2001-07-26,0.332,0.617
2001-07-27,0.339,0.613
2001-07-30,0.338,0.628
2001-07-31,0.336,0.625
2001-08-01,0.34,0.625
2001-08-02,0.354,0.609
2001-08-03,0.348,0.608
2001-08-06,0.342,0.595
2001-08-07,0.344,0.58
2001-08-08,0.337,0.556
2001-08-09,0.34,0.523
2001-08-10,0.34,0.497
2001-08-13,0.341,0.506
2001-08-14,0.334,0.527
2001-08-15,0.329,0.504
2001-08-16,0.333,0.491
2001-08-17,0.323,0.5
2001-08-20,0.324,0.52
2001-08-21,0.32,0.495
2001-08-22,0.325,0.51
2001-08-23,0.318,0.482
2001-08-24,0.332,0.512
2001-08-27,0.338,0.507
2001-08-28,0.329,0.499
2001-08-29,0.318,0.459
2001-08-30,0.318,0.435
2001-08-31,0.331,0.447
2001-09-04,0.326,0.43
2001-09-05,0.331,0.383
2001-09-06,0.316,0.408
2001-09-07,0.309,0.426
2001-09-10,0.31,0.432
2001-09-17,0.303,0.375
2001-09-18,0.291,0.365
2001-09-19,0.304,0.366
2001-09-20,0.28,0.374
2001-09-21,0.281,0.374
2001-09-24,0.294,0.373
2001-09-25,0.277,0.355
2001-09-26,0.271,0.318
2001-09-27,0.277,0.31
2001-09-28,0.277,0.299
2001-10-01,0.277,0.301
2001-10-02,0.269,0.304
2001-10-03,0.268,0.338
2001-10-04,0.284,0.352
2001-10-05,0.288,0.36
2001-10-08,0.289,0.356
2001-10-09,0.286,0.346
2001-10-10,0.3,0.363
2001-10-11,0.317,0.392
2001-10-12,0.322,0.404
2001-10-15,0.321,0.444
2001-10-16,0.322,0.478
2001-10-17,0.303,0.446
2001-10-18,0.321,0.424
2001-10-19,0.327,0.4
2001-10-22,0.34,0.439
2001-10-23,0.324,0.478
2001-10-24,0.338,0.382
2001-10-25,0.343,0.388
2001-10-26,0.333,0.378
2001-10-29,0.315,0.353
2001-10-30,0.314,0.321
2001-10-31,0.314,0.349
2001-11-01,0.332,0.348
2001-11-02,0.332,0.336
2001-11-05,0.341,0.35
2001-11-06,0.349,0.353
2001-11-07,0.35,0.372
2001-11-08,0.334,0.349
2001-11-09,0.334,0.356
2001-11-12,0.335,0.353
2001-11-13,0.346,0.365
2001-11-14,0.35,0.475
2001-11-15,0.347,0.453
2001-11-16,0.339,0.447
2001-11-19,0.357,0.459
2001-11-20,0.349,0.43
2001-11-21,0.351,0.44
2001-11-23,0.354,0.454
2001-11-26,0.382,0.611
2001-11-27,0.375,0.574
2001-11-28,0.367,0.58
2001-11-29,0.365,0.558
2001-11-30,0.38,0.566
2001-12-03,0.376,0.525
2001-12-04,0.4,0.597
2001-12-05,0.424,0.588
2001-12-06,0.407,0.605
2001-12-07,0.402,0.586
2001-12-10,0.402,0.583
2001-12-11,0.389,0.612
2001-12-12,0.384,0.596
2001-12-13,0.375,0.545
2001-12-14,0.364,0.55
2001-12-17,0.368,0.541
2001-12-18,0.375,0.543
2001-12-19,0.386,0.536
2001-12-20,0.369,0.508
2001-12-21,0.375,0.5
2001-12-24,0.381,0.492
2001-12-26,0.384,0.555
2001-12-27,0.394,0.53
2001-12-28,0.401,0.545
2001-12-31,0.391,0.541
2002-01-02,0.416,0.548
2002-01-03,0.421,0.595
2002-01-04,0.423,0.613
2002-01-07,0.409,0.617
2002-01-08,0.404,0.593
2002-01-09,0.387,0.577
2002-01-10,0.379,0.552
2002-01-11,0.376,0.552
2002-01-14,0.378,0.505
2002-01-15,0.388,0.515
2002-01-16,0.371,0.457
2002-01-17,0.401,0.487
2002-01-18,0.396,0.508
2002-01-22,0.39,0.63
2002-01-23,0.411,0.624
2002-01-24,0.414,0.701
2002-01-25,0.415,0.722
2002-01-28,0.416,0.775
2002-01-29,0.412,0.711
2002-01-30,0.43,0.695
2002-01-31,0.441,0.71
2002-02-01,0.436,0.687
2002-02-04,0.453,0.627
2002-02-05,0.454,0.575
2002-02-06,0.441,0.563
2002-02-07,0.434,0.562
2002-02-08,0.429,0.626
2002-02-11,0.446,0.665
2002-02-12,0.441,0.645
2002-02-13,0.447,0.665
2002-02-14,0.439,0.694
2002-02-15,0.427,0.671
2002-02-19,0.404,0.651
2002-02-20,0.413,0.648
2002-02-21,0.384,0.663
2002-02-22,0.406,0.654
2002-02-25,0.425,0.687
2002-02-26,0.423,0.72
2002-02-27,0.392,0.714
2002-02-28,0.388,0.705
2002-03-01,0.419,0.77
2002-03-04,0.434,0.824
2002-03-05,0.42,0.799
2002-03-06,0.43,0.816
2002-03-07,0.435,0.781
2002-03-08,0.44,0.818
2002-03-11,0.447,0.836
2002-03-12,0.441,0.815
2002-03-13,0.437,0.787
2002-03-14,0.436,0.724
2002-03-15,0.446,0.702
2002-03-18,0.442,0.751
2002-03-19,0.444,0.733
2002-03-20,0.445,0.725
2002-03-21,0.433,0.759
2002-03-22,0.43,0.777
2002-03-25,0.417,0.737
2002-03-26,0.419,0.742
2002-03-27,0.419,0.713
2002-03-28,0.423,0.715
2002-04-01,0.437,0.74
2002-04-02,0.43,0.713
2002-04-03,0.424,0.684
2002-04-04,0.445,0.677
2002-04-05,0.442,0.675
2002-04-08,0.439,0.698
2002-04-09,0.43,0.68
2002-04-10,0.44,0.674
2002-04-11,0.444,0.637
2002-04-12,0.447,0.666
2002-04-15,0.446,0.695
2002-04-16,0.46,0.701
2002-04-17,0.466,0.741
2002-04-18,0.454,0.713
2002-04-19,0.446,0.726
2002-04-22,0.438,0.716
2002-04-23,0.433,0.703
2002-04-24,0.424,0.839
2002-04-25,0.431,0.841
2002-04-26,0.411,0.846
2002-04-29,0.428,0.809
2002-04-30,0.433,0.835
2002-05-01,0.428,0.824
2002-05-02,0.423,0.816
2002-05-03,0.42,0.803
2002-05-06,0.404,0.806
2002-05-07,0.401,0.806
2002-05-08,0.435,0.866
2002-05-09,0.432,0.887
2002-05-10,0.416,0.847
2002-05-13,0.428,0.866
2002-05-14,0.457,0.94
2002-05-15,0.451,0.997
2002-05-16,0.45,0.98
2002-05-17,0.447,0.958
2002-05-20,0.442,0.97
2002-05-21,0.419,0.938
2002-05-22,0.434,0.938
2002-05-23,0.45,0.972
2002-05-24,0.431,0.973
2002-05-28,0.428,0.953
2002-05-29,0.428,0.946
2002-05-30,0.432,0.919
2002-05-31,0.416,0.912
2002-06-03,0.409,0.898
2002-06-04,0.407,0.899
2002-06-05,0.406,0.9
2002-06-06,0.396,0.909
2002-06-07,0.382,0.929
2002-06-10,0.384,0.865
2002-06-11,0.365,0.857
2002-06-12,0.359,0.854
2002-06-13,0.349,0.871
2002-06-14,0.359,0.841
2002-06-17,0.367,0.921
2002-06-18,0.36,0.939
2002-06-19,0.306,0.915
2002-06-20,0.306,0.878
2002-06-21,0.301,0.877
2002-06-24,0.308,0.876
2002-06-25,0.306,0.767
2002-06-26,0.296,0.793
2002-06-27,0.305,0.793
2002-06-28,0.316,0.813
2002-07-01,0.305,0.678
2002-07-02,0.303,0.666
2002-07-03,0.313,0.713
2002-07-05,0.335,0.761
2002-07-08,0.322,0.747
2002-07-09,0.313,0.78
2002-07-10,0.309,0.748
2002-07-11,0.327,0.778
2002-07-12,0.313,0.772
2002-07-15,0.326,0.797
2002-07-16,0.319,0.815
2002-07-17,0.279,0.808
2002-07-18,0.268,0.778
2002-07-19,0.267,0.765
2002-07-22,0.266,0.775
2002-07-23,0.258,0.728
2002-07-24,0.271,0.705
2002-07-25,0.256,0.625
2002-07-26,0.256,0.647
2002-07-29,0.268,0.717
2002-07-30,0.276,0.738
2002-07-31,0.273,0.723
2002-08-01,0.264,0.708
2002-08-02,0.258,0.692
2002-08-05,0.25,0.644
2002-08-06,0.263,0.687
2002-08-07,0.268,0.68
2002-08-08,0.273,0.695
2002-08-09,0.268,0.713
2002-08-12,0.268,0.723
2002-08-13,0.261,0.697
2002-08-14,0.271,0.696
2002-08-15,0.279,0.731
2002-08-16,0.282,0.745
2002-08-19,0.285,0.775
2002-08-20,0.284,0.796
2002-08-21,0.288,0.769
2002-08-22,0.285,0.787
2002-08-23,0.281,0.759
2002-08-26,0.277,0.746
2002-08-27,0.265,0.726
2002-08-28,0.263,0.729
2002-08-29,0.263,0.759
2002-08-30,0.263,0.747
2002-09-03,0.251,0.73
2002-09-04,0.259,0.742
2002-09-05,0.253,0.713
2002-09-06,0.257,0.766
2002-09-09,0.257,0.826
2002-09-10,0.256,0.856
2002-09-11,0.255,0.855
2002-09-12,0.253,0.838
2002-09-13,0.253,0.831
2002-09-16,0.259,0.836
2002-09-17,0.264,0.868
2002-09-18,0.268,0.887
2002-09-19,0.26,0.861
2002-09-20,0.266,0.793
2002-09-23,0.265,0.803
2002-09-24,0.261,0.797
2002-09-25,0.267,0.787
2002-09-26,0.263,0.857
2002-09-27,0.263,0.851
2002-09-30,0.259,0.797
2002-10-01,0.259,0.847
2002-10-02,0.253,0.851
2002-10-03,0.255,0.838
2002-10-04,0.251,0.828
2002-10-07,0.246,0.832
2002-10-08,0.244,0.847
2002-10-09,0.243,0.843
2002-10-10,0.252,0.898
2002-10-11,0.259,0.923
2002-10-14,0.264,0.96
2002-10-15,0.271,0.947
2002-10-16,0.26,0.974
2002-10-17,0.252,0.937
2002-10-18,0.256,0.952
2002-10-21,0.26,0.963
2002-10-22,0.263,0.969
2002-10-23,0.266,0.988
2002-10-24,0.262,0.993
2002-10-25,0.275,0.965
2002-10-28,0.279,0.93
2002-10-29,0.276,0.929
2002-10-30,0.285,0.954
2002-10-31,0.287,0.968
2002-11-01,0.292,0.99
2002-11-04,0.302,0.939
2002-11-05,0.302,0.936
2002-11-06,0.308,0.967
2002-11-07,0.286,0.956
2002-11-08,0.283,0.976
2002-11-11,0.271,0.95
2002-11-12,0.279,0.991
2002-11-13,0.278,1.021
2002-11-14,0.291,1.061
2002-11-15,0.285,1.111
2002-11-18,0.279,1.121
2002-11-19,0.273,1.065
2002-11-20,0.277,1.145
2002-11-21,0.292,1.17
2002-11-22,0.286,1.2
2002-11-25,0.285,1.213
2002-11-26,0.275,1.17
2002-11-27,0.281,1.204
2002-11-29,0.277,1.168
2002-12-02,0.271,1.206
2002-12-03,0.271,1.187
2002-12-04,0.267,1.17
2002-12-05,0.261,1.129
2002-12-06,0.267,1.131
2002-12-09,0.263,1.084
2002-12-10,0.273,1.093
2002-12-11,0.277,1.107
2002-12-12,0.271,1.115
2002-12-13,0.264,1.109
2002-12-16,0.265,1.126
2002-12-17,0.269,1.123
2002-12-18,0.26,1.105
2002-12-19,0.254,1.085
2002-12-20,0.253,1.097
2002-12-23,0.259,1.112
2002-12-24,0.256,1.094
2002-12-26,0.257,1.015
2002-12-27,0.251,0.943
2002-12-30,0.251,0.963
2002-12-31,0.256,0.945
2003-01-02,0.264,0.979
2003-01-03,0.266,1.026
2003-01-06,0.266,1.035
2003-01-07,0.265,1.078
2003-01-08,0.26,1.051
2003-01-09,0.262,1.073
2003-01-10,0.263,1.066
2003-01-13,0.261,1.102
2003-01-14,0.261,1.137
2003-01-15,0.258,1.114
2003-01-16,0.261,1.09
2003-01-17,0.252,1.07
2003-01-21,0.25,1.054
2003-01-22,0.248,1.059
2003-01-23,0.253,1.09
2003-01-24,0.246,1.106
2003-01-27,0.252,1.089
2003-01-28,0.26,1.081
2003-01-29,0.267,1.104
2003-01-30,0.256,1.091
2003-01-31,0.256,1.093
2003-02-03,0.262,1.108
2003-02-04,0.261,1.103
2003-02-05,0.258,1.109
2003-02-06,0.258,1.105
2003-02-07,0.253,1.072
2003-02-10,0.256,1.07
2003-02-11,0.256,1.039
2003-02-12,0.257,1.057
2003-02-13,0.26,1.003
2003-02-14,0.262,1.003
2003-02-18,0.273,1.07
2003-02-19,0.265,1.06
2003-02-20,0.264,1.068
2003-02-21,0.268,1.089
2003-02-24,0.263,1.089
2003-02-25,0.268,1.094
2003-02-26,0.259,1.082
2003-02-27,0.265,1.081
2003-02-28,0.268,1.101
2003-03-03,0.262,1.091
2003-03-04,0.26,1.114
2003-03-05,0.261,1.121
2003-03-06,0.26,1.135
2003-03-07,0.259,1.148
2003-03-10,0.257,1.144
2003-03-11,0.254,1.139
2003-03-12,0.254,1.168
2003-03-13,0.263,1.221
2003-03-14,0.264,1.236
2003-03-17,0.268,1.328
2003-03-18,0.268,1.339
2003-03-19,0.267,1.327
2003-03-20,0.266,1.373
2003-03-21,0.268,1.397
2003-03-24,0.257,1.312
2003-03-25,0.26,1.345
2003-03-26,0.257,1.388
2003-03-27,0.259,1.389
2003-03-28,0.26,1.359
2003-03-31,0.253,1.302
2003-04-01,0.253,1.277
2003-04-02,0.261,1.319
2003-04-03,0.258,1.333
2003-04-04,0.257,1.311
2003-04-07,0.259,1.341
2003-04-08,0.258,1.326
2003-04-09,0.253,1.253
2003-04-10,0.257,1.284
2003-04-11,0.236,1.288
2003-04-14,0.243,1.253
2003-04-15,0.239,1.257
2003-04-16,0.236,1.219
2003-04-17,0.234,1.249
2003-04-21,0.235,1.263
2003-04-22,0.241,1.279
2003-04-23,0.243,1.272
2003-04-24,0.24,1.256
2003-04-25,0.238,1.449
2003-04-28,0.248,1.456
2003-04-29,0.251,1.445
2003-04-30,0.254,1.435
2003-05-01,0.256,1.433
2003-05-02,0.258,1.472
2003-05-05,0.287,1.498
2003-05-06,0.313,1.544
2003-05-07,0.315,1.535
2003-05-08,0.321,1.523
2003-05-09,0.327,1.548
2003-05-12,0.331,1.585
2003-05-13,0.333,1.648
2003-05-14,0.331,1.63
2003-05-15,0.334,1.632
2003-05-16,0.336,1.652
2003-05-19,0.323,1.578
2003-05-20,0.318,1.574
2003-05-21,0.319,1.588
2003-05-22,0.326,1.65
2003-05-23,0.327,1.636
2003-05-27,0.337,1.743
2003-05-28,0.326,1.743
2003-05-29,0.323,1.777
2003-05-30,0.321,1.795
2003-06-02,0.312,1.77
2003-06-03,0.309,1.761
2003-06-04,0.314,1.77
2003-06-05,0.315,1.776
2003-06-06,0.306,1.668
2003-06-09,0.3,1.684
2003-06-10,0.307,1.704
2003-06-11,0.312,1.733
2003-06-12,0.317,1.76
2003-06-13,0.311,1.707
2003-06-16,0.326,1.792
2003-06-17,0.325,1.792
2003-06-18,0.341,1.793
2003-06-19,0.342,1.775
2003-06-20,0.343,1.752
2003-06-23,0.34,1.779
2003-06-24,0.335,1.77
2003-06-25,0.341,1.77
2003-06-26,0.344,1.836
2003-06-27,0.334,1.815
2003-06-30,0.34,1.816
2003-07-01,0.341,1.863
2003-07-02,0.344,1.893
2003-07-03,0.342,1.896
2003-07-07,0.355,1.953
2003-07-08,0.364,2.026
2003-07-09,0.355,2.025
2003-07-10,0.35,1.913
2003-07-11,0.354,1.882
2003-07-14,0.355,1.964
2003-07-15,0.35,1.922
2003-07-16,0.355,1.884
2003-07-17,0.373,1.816
2003-07-18,0.372,1.749
2003-07-21,0.368,1.767
2003-07-22,0.371,1.743
2003-07-23,0.371,2.006
2003-07-24,0.366,2.066
2003-07-25,0.385,2.08
2003-07-28,0.375,2.104
2003-07-29,0.37,2.07
2003-07-30,0.362,2.033
2003-07-31,0.376,2.082
2003-08-01,0.37,2.002
2003-08-04,0.379,1.983
2003-08-05,0.364,1.934
2003-08-06,0.351,1.947
2003-08-07,0.356,1.951
2003-08-08,0.351,1.958
2003-08-11,0.351,1.947
2003-08-12,0.352,1.993
2003-08-13,0.36,2.011
2003-08-14,0.357,2.015
2003-08-15,0.352,2.005
2003-08-18,0.363,2.151
2003-08-19,0.363,2.179
2003-08-20,0.375,2.188
2003-08-21,0.387,2.285
2003-08-22,0.373,2.261
2003-08-25,0.373,2.293
2003-08-26,0.376,2.297
2003-08-27,0.384,2.294
2003-08-28,0.396,2.297
2003-08-29,0.404,2.316
2003-09-02,0.408,2.367
2003-09-03,0.41,2.31
2003-09-04,0.408,2.365
2003-09-05,0.402,2.326
2003-09-08,0.406,2.364
2003-09-09,0.399,2.334
2003-09-10,0.396,2.311
2003-09-11,0.403,2.26
2003-09-12,0.413,2.284
2003-09-15,0.397,2.276
2003-09-16,0.399,2.312
2003-09-17,0.395,2.308
2003-09-18,0.409,2.395
2003-09-19,0.403,2.379
2003-09-22,0.394,2.373
2003-09-23,0.401,2.522
2003-09-24,0.381,2.481
2003-09-25,0.365,2.503
2003-09-26,0.369,2.428
2003-09-29,0.38,2.493
2003-09-30,0.37,2.422
2003-10-01,0.371,2.456
2003-10-02,0.367,2.505
2003-10-03,0.387,2.645
2003-10-06,0.398,2.708
2003-10-07,0.415,2.746
2003-10-08,0.412,2.785
2003-10-09,0.419,2.893
2003-10-10,0.423,2.903
2003-10-13,0.435,2.915
2003-10-14,0.438,2.996
2003-10-15,0.443,2.927
2003-10-16,0.415,2.996
2003-10-17,0.406,2.984
2003-10-20,0.415,2.98
2003-10-21,0.414,2.968
2003-10-22,0.406,2.702
2003-10-23,0.411,2.716
2003-10-24,0.404,2.725
2003-10-27,0.404,2.741
2003-10-28,0.424,2.837
2003-10-29,0.423,2.835
2003-10-30,0.412,2.792
2003-10-31,0.409,2.722
2003-11-03,0.413,2.837
2003-11-04,0.409,2.843
2003-11-05,0.411,2.837
2003-11-06,0.413,2.75
2003-11-07,0.402,2.716
2003-11-10,0.391,2.599
2003-11-11,0.385,2.612
2003-11-12,0.399,2.707
2003-11-13,0.4,2.74
2003-11-14,0.383,2.623
2003-11-17,0.377,2.518
2003-11-18,0.364,2.425
2003-11-19,0.365,2.477
2003-11-20,0.364,2.443
2003-11-21,0.362,2.429
2003-11-24,0.378,2.567
2003-11-25,0.369,2.624
2003-11-26,0.37,2.648
2003-11-28,0.373,2.699
2003-12-01,0.388,2.733
2003-12-02,0.385,2.697
2003-12-03,0.376,2.576
2003-12-04,0.378,2.59
2003-12-05,0.372,2.578
2003-12-08,0.376,2.554
2003-12-09,0.365,2.467
2003-12-10,0.364,2.46
2003-12-11,0.379,2.54
2003-12-12,0.373,2.55
2003-12-15,0.36,2.52
2003-12-16,0.359,2.475
2003-12-17,0.355,2.379
2003-12-18,0.358,2.438
2003-12-19,0.352,2.462
2003-12-22,0.354,2.495
2003-12-23,0.354,2.624
2003-12-24,0.364,2.666
2003-12-26,0.371,2.673
2003-12-29,0.378,2.673
2003-12-30,0.38,2.641
2003-12-31,0.382,2.631
2004-01-02,0.38,2.595
2004-01-05,0.396,2.664
2004-01-06,0.394,2.652
2004-01-07,0.403,2.595
2004-01-08,0.417,2.512
2004-01-09,0.411,2.58
2004-01-12,0.424,2.648
2004-01-13,0.431,2.746
2004-01-14,0.432,2.79
2004-01-15,0.408,2.809
2004-01-16,0.406,2.786
2004-01-20,0.406,2.831
2004-01-21,0.404,2.81
2004-01-22,0.396,2.859
2004-01-23,0.403,2.856
2004-01-26,0.411,2.852
2004-01-27,0.412,2.787
2004-01-28,0.402,2.598
2004-01-29,0.405,2.461
2004-01-30,0.403,2.52
2004-02-02,0.399,2.414
2004-02-03,0.398,2.247
2004-02-04,0.389,2.27
2004-02-05,0.4,2.302
2004-02-06,0.406,2.318
2004-02-09,0.405,2.293
2004-02-10,0.41,2.28
2004-02-11,0.425,2.357
2004-02-12,0.424,2.353
2004-02-13,0.411,2.319
2004-02-17,0.414,2.277
2004-02-18,0.415,2.244
2004-02-19,0.401,2.233
2004-02-20,0.4,2.259
2004-02-23,0.396,2.198
2004-02-24,0.399,2.116
2004-02-25,0.407,2.147
2004-02-26,0.411,2.183
2004-02-27,0.427,2.151
2004-03-01,0.429,2.149
2004-03-02,0.425,2.101
2004-03-03,0.427,2.159
2004-03-04,0.449,2.22
2004-03-05,0.478,2.205
2004-03-08,0.464,2.175
2004-03-09,0.484,2.136
2004-03-10,0.494,2.077
2004-03-11,0.485,2.064
2004-03-12,0.492,2.122
2004-03-15,0.472,2.054
2004-03-16,0.461,2.107
2004-03-17,0.468,2.14
2004-03-18,0.458,2.151
2004-03-19,0.462,2.14
2004-03-22,0.462,2.043
2004-03-23,0.452,2.011
2004-03-24,0.455,1.982
2004-03-25,0.48,2.1
2004-03-26,0.483,2.085
2004-03-29,0.498,2.138
2004-03-30,0.499,2.19
2004-03-31,0.483,2.164
2004-04-01,0.484,2.237
2004-04-02,0.491,2.305
2004-04-05,0.506,2.348
2004-04-06,0.497,2.322
2004-04-07,0.488,2.293
2004-04-08,0.492,2.405
2004-04-12,0.501,2.398
2004-04-13,0.481,2.329
2004-04-14,0.476,2.34
2004-04-15,0.523,2.35
2004-04-16,0.521,2.275
2004-04-19,0.506,2.356
2004-04-20,0.495,2.26
2004-04-21,0.495,2.286
2004-04-22,0.496,2.443
2004-04-23,0.495,2.315
2004-04-26,0.484,2.363
2004-04-27,0.481,2.4
2004-04-28,0.472,2.349
2004-04-29,0.478,2.31
2004-04-30,0.46,2.18
2004-05-03,0.466,2.221
2004-05-04,0.467,2.198
2004-05-05,0.476,2.213
2004-05-06,0.475,2.157
2004-05-07,0.476,2.095
2004-05-10,0.469,2.063
2004-05-11,0.485,2.135
2004-05-12,0.488,2.151
2004-05-13,0.486,2.181
2004-05-14,0.483,2.153
2004-05-17,0.476,2.104
2004-05-18,0.483,2.1
2004-05-19,0.473,2.085
2004-05-20,0.477,2.049
2004-05-21,0.484,2.059
2004-05-24,0.488,2.082
2004-05-25,0.507,2.181
2004-05-26,0.509,2.234
2004-05-27,0.503,2.381
2004-05-28,0.501,2.425
2004-06-01,0.501,2.512
2004-06-02,0.516,2.518
2004-06-03,0.507,2.47
2004-06-04,0.514,2.548
2004-06-07,0.532,2.588
2004-06-08,0.542,2.597
2004-06-09,0.539,2.512
2004-06-10,0.549,2.497
2004-06-14,0.538,2.463
2004-06-15,0.548,2.506
2004-06-16,0.585,2.529
2004-06-17,0.586,2.489
2004-06-18,0.588,2.48
2004-06-21,0.577,2.489
2004-06-22,0.589,2.45
2004-06-23,0.602,2.541
2004-06-24,0.593,2.551
2004-06-25,0.602,2.59
2004-06-28,0.58,2.67
2004-06-29,0.58,2.686
2004-06-30,0.581,2.72
2004-07-01,0.577,2.628
2004-07-02,0.555,2.63
2004-07-06,0.553,2.562
2004-07-07,0.543,2.55
2004-07-08,0.538,2.475
2004-07-09,0.536,2.416
2004-07-12,0.52,2.452
2004-07-13,0.522,2.48
2004-07-14,0.528,2.475
2004-07-15,0.588,2.434
2004-07-16,0.575,2.355
2004-07-19,0.571,2.301
2004-07-20,0.575,2.35
2004-07-21,0.565,2.238
2004-07-22,0.566,2.291
2004-07-23,0.548,1.999
2004-07-26,0.558,1.939
2004-07-27,0.579,1.956
2004-07-28,0.576,1.898
2004-07-29,0.583,1.929
2004-07-30,0.578,1.946
2004-08-02,0.564,1.915
2004-08-03,0.559,1.881
2004-08-04,0.568,1.856
2004-08-05,0.561,1.781
2004-08-06,0.532,1.775
2004-08-09,0.541,1.766
2004-08-10,0.563,1.855
2004-08-11,0.554,1.828
2004-08-12,0.542,1.815
2004-08-13,0.551,1.807
2004-08-16,0.55,1.898
2004-08-17,0.551,1.911
2004-08-18,0.567,1.968
2004-08-19,0.548,1.932
2004-08-20,0.55,1.975
2004-08-23,0.555,1.973
2004-08-24,0.571,1.953
2004-08-25,0.59,2.015
2004-08-26,0.619,2.01
2004-08-27,0.613,1.995
2004-08-30,0.609,1.916
2004-08-31,0.616,1.907
2004-09-01,0.64,1.912
2004-09-02,0.637,1.959
2004-09-03,0.629,1.937
2004-09-07,0.639,1.926
2004-09-08,0.649,1.9
2004-09-09,0.638,1.904
2004-09-10,0.641,1.929
2004-09-13,0.636,2.0
2004-09-14,0.634,2.134
2004-09-15,0.629,2.111
2004-09-16,0.649,2.129
2004-09-17,0.663,2.148
2004-09-20,0.673,2.164
2004-09-21,0.679,2.165
2004-09-22,0.659,2.069
2004-09-23,0.666,2.092
2004-09-24,0.666,2.047
2004-09-27,0.67,1.997
2004-09-28,0.679,1.972
2004-09-29,0.691,2.042
2004-09-30,0.692,2.043
2004-10-01,0.691,2.023
2004-10-04,0.693,2.051
2004-10-05,0.703,2.048
